estado,municipio,juntas,income2020,calculo_ind,pob_tot,pob_ind,pob_no_ind,no_esp,por,por_ind,por_no_ind,por_no_esp,lat,lon,alt,pob,pob_male,pob_female,houses,ext,porcentaje_ext,densidad,localidades
00 Estados Unidos Mexicanos,000 Estados Unidos Mexicanos,,50309.31315,,,,,,,,,,,,,,,,,1960646.659,1,64.27166435,2469
01 Aguascalientes,000 Aguascalientes,,58303.33415,,,,,,,,,,22.01031718,-102.3104747,1950.76907,1423682,691522,725470,386108,5615.670196,0.002864193,253.8623085,11
01 Aguascalientes,001 Aguascalientes,,62433.1243,m,901262,59858,841218,186,1,0.066,0.933,0,21.8310373,-102.2815861,1917.316384,947612,459607,485467,266508,1178.100369,0.209788027,805.5255942,565
01 Aguascalientes,002 Asientos,,41022.52749,m,48275,1643,46632,0,1,0.034,0.966,0,22.139358,-102.0408901,2031.253165,51536,25079,26097,12544,549.0094256,0.09776383,93.87088381,172
01 Aguascalientes,003 Calvillo,,48863.5281,m,55019,2308,52564,147,1,0.042,0.955,0.003,21.8801715,-102.7159951,1817.619863,58250,28430,29584,15556,932.7372103,0.16609544,62.45060169,166
01 Aguascalientes,004 Cosío,,42930.31049,m,15959,1030,14905,24,1,0.065,0.934,0.002,22.35936907,-102.2806001,1969.608696,17000,8187,8626,3938,129.7389936,0.023103029,131.0323098,64
01 Aguascalientes,010 El Llano,,37946.54955,m,18987,776,18191,20,1,0.041,0.958,0.001,21.88142928,-102.0781462,2021.956332,20850,9773,10227,5210,509.1822991,0.090671689,40.95389812,167
01 Aguascalientes,005 Jesús María,,55616.03,m,122544,7966,114554,24,1,0.065,0.935,0,21.9470695,-102.3869716,1936.541667,129912,63968,65485,33225,504.9894536,0.089925055,257.2905218,215
01 Aguascalientes,006 Pabellón de Arteaga,,51405.38255,m,44893,1067,43826,0,1,0.024,0.976,0,22.1188014,-102.2826767,1912.365942,47646,23072,24000,11470,197.7620392,0.035216106,240.9259137,191
01 Aguascalientes,007 Rincón de Romos,,46594.35809,m,53484,2210,51260,14,1,0.041,0.958,0,22.21665228,-102.2993682,1938.176119,56926,27418,28628,13483,376.1986956,0.066990881,152.4965415,254
01 Aguascalientes,011 San Francisco de los Romo,,52960.85855,m,57999,5134,52859,6,1,0.089,0.911,0,22.0334442,-102.2545398,1915.03252,61992,30560,31153,16390,139.1875538,0.024785564,445.4205731,95
01 Aguascalientes,008 San José de Gracia,,35683.04472,m,8868,599,8269,0,1,0.068,0.932,0,22.16087703,-102.5323855,2347.508065,9515,4490,4977,2371,866.7002836,0.154336037,11.02111097,32
01 Aguascalientes,009 Tepezalá,,39294.06066,m,21182,609,20573,0,1,0.029,0.971,0,22.22645629,-102.2319677,1950.146853,22443,10938,11226,5413,232.0638727,0.041324341,96.89142794,101
02 Baja California,000 Baja California,,67820.56389,,,,,,,,,,31.90308296,-115.943081,265.0166559,3728135,1870951,1842590,1137966,71449.99481,0.036442056,52.7504587,6
02 Baja California,001 Ensenada,,61895.72609,m,422238,46148,374672,1418,1,0.109,0.887,0.003,31.7478931,-116.4032423,385.8444535,442921,218599,220333,139633,19526.80354,0.273293281,22.72809265,1688
02 Baja California,002 Mexicali,,66811.85519,m,1004592,48948,954007,1637,1,0.049,0.95,0.002,32.46705027,-115.1684381,21.92253209,1029689,515305,508537,323857,14528.31989,0.203335493,72.25832086,1970
02 Baja California,005 Playas de Rosarito,,58326.98204,m,121701,10922,109938,841,1,0.09,0.903,0.007,32.27819158,-116.9582671,110.9661017,126880,64002,62258,38131,506.2930767,0.007085978,250.6255879,283
02 Baja California,006 San Quintín,,,m,109811,43080,66513,218,1,0.392,0.606,0.002,30.07687483,-115.405335,145.0446224,117568,59056,57266,32773,32953.25175,0.461207196,3.567720749,541
02 Baja California,003 Tecate,,65057.55281,m,98206,10477,87084,645,1,0.107,0.887,0.007,32.47671788,-116.4547421,768.8910788,108355,56198,50598,31147,2861.177638,0.040044476,37.90047796,616
02 Baja California,004 Tijuana,,70948.12767,m,1829472,126104,1698024,5344,1,0.069,0.928,0.003,32.44784511,-116.8713012,224.6054422,1882408,947501,933879,565626,1074.148918,0.015033576,1789.810489,447
03 Baja California Sur,000 Baja California Sur,,64265.86441,,,,,,,,,,24.75263238,-111.0085693,198.3278265,797132,400553,389059,240256,73909.3705,0.037696425,10.80305507,5
03 Baja California Sur,001 Comondú,,52965.68752,m,69371,10296,58961,114,1,0.148,0.85,0.002,25.38051886,-111.713994,121.1532847,73028,35783,35534,22244,18318.59387,0.247852116,3.986168399,589
03 Baja California Sur,003 La Paz,,69735.49979,m,279213,24749,253969,495,1,0.089,0.91,0.002,23.97872796,-110.3679657,210.9006298,291796,144045,145062,91207,15413.73689,0.208549157,18.95977608,1018
03 Baja California Sur,009 Loreto,,54910.06167,m,17178,1493,15649,36,1,0.087,0.911,0.002,25.92728646,-111.447287,193.8832487,17956,8957,8625,5588,4415.634494,0.059743906,4.088200693,127
03 Baja California Sur,008 Los Cabos,,63831.99054,m,331218,46306,282901,2011,1,0.14,0.854,0.006,23.21188529,-109.7650592,224.4391608,350250,179441,169350,101742,3751.545096,0.050758721,93.5910381,428
03 Baja California Sur,002 Mulegé,,56464.0109,m,59781,6973,52619,189,1,0.117,0.88,0.003,27.14634945,-112.8232078,264.9651568,64102,32327,30488,19475,32009.86015,0.4330961,2.000071219,381
04 Campeche,000 Campeche,,47275.78925,,,,,,,,,,18.76254843,-90.77201323,49.06182903,928018,452610,468235,260726,57484.91225,0.029319364,16.14968108,12
04 Campeche,010 Calakmul,,24555.49351,m,29252,19374,9618,260,1,0.662,0.329,0.009,18.41595887,-89.42803457,212.6423358,31714,15882,15441,8037,13987.47101,0.243324213,2.267314797,184
04 Campeche,001 Calkiní,,37314.17886,m,56208,50141,5938,129,1,0.892,0.106,0.002,20.38744576,-90.10753394,9.340206186,42659,20953,21628,11140,2088.986026,0.036339727,28.35442615,63
04 Campeche,002 Campeche,,53414.13876,m,280245,150120,129375,750,1,0.536,0.462,0.003,19.72814901,-90.37922764,32.59866962,294056,140985,152318,85345,3224.33605,0.056090127,91.20544367,200
04 Campeche,011 Candelaria,,28689.60382,m,43810,18567,25110,133,1,0.424,0.573,0.003,18.0906306,-90.82252203,64.9902629,46844,22765,22458,13273,5669.536942,0.098626522,8.274573476,615
04 Campeche,003 Carmen,,58918.14253,m,237219,56680,180040,499,1,0.239,0.759,0.002,18.51206779,-91.38989674,13.80982456,248835,121704,124754,72115,8557.170311,0.148859413,29.08029068,782
04 Campeche,004 Champotón,,37859.77777,m,73876,37239,36597,40,1,0.504,0.495,0.001,19.16333297,-90.63144731,24.84094755,78149,38665,38868,21469,6589.739483,0.114634244,11.86238093,293
04 Campeche,009 Escárcega,,35193.92339,m,56542,20408,36092,42,1,0.361,0.638,0.001,18.59447526,-90.67335741,78.27734375,59917,29048,30135,16835,4783.28686,0.083209431,12.52757816,286
04 Campeche,005 Hecelchakán,,32766.3231,m,30540,26443,4083,14,1,0.866,0.134,0,20.13930947,-90.09929428,29.16,31917,15688,16180,8292,1274.895913,0.022177922,25.03498496,27
04 Campeche,006 Hopelchén,,34091.63718,m,39259,28130,11047,82,1,0.717,0.281,0.002,19.58946569,-89.70322918,111.6581197,42140,21245,20750,10243,7779.864962,0.135337511,5.416546458,136
04 Campeche,007 Palizada,,31241.71886,m,8269,96,8125,48,1,0.012,0.983,0.006,18.12450512,-91.91064705,4.135294118,8584,4206,4087,2523,2187.084059,0.038046228,3.970126326,130
04 Campeche,012 Seybaplaya,,,mi,14550,0,0,0,0,0,0,0,19.60188547,-90.68021761,9.568627451,15292,7608,7642,4272,284.1410927,0.004942881,53.83593007,18
04 Campeche,008 Tenabo,,34513.50374,m,10898,8989,1909,0,1,0.825,0.175,0,19.97366867,-90.22852906,19.91044776,11452,5771,5639,3066,1058.399543,0.01841178,10.82011049,28
05 Coahuila de Zaragoza,000 Coahuila de Zaragoza,,55670.653,,,,,,,,,,27.00697681,-101.5139465,915.8655781,3146587,1555852,1579226,901196,151594.7634,0.077318757,20.75778166,38
05 Coahuila de Zaragoza,001 Abasolo,,56249.75322,c,982,3,977,2,1,0.003,0.995,0.002,27.14699834,-101.311735,432.4146341,1022,509,466,363,743.1523809,0.00490223,1.375222668,17
05 Coahuila de Zaragoza,002 Acuña,,49722.27158,m,153787,1247,152472,68,1,0.008,0.991,0,29.33067004,-101.3462651,486.6016949,163044,81644,80962,47243,11464.06665,0.075623105,14.22339951,206
05 Coahuila de Zaragoza,003 Allende,,48334.37526,m,21834,254,21561,19,1,0.012,0.987,0.001,28.32395759,-100.8847534,398.8719512,23056,11382,11567,6852,251.6427133,0.00165997,91.62196553,50
05 Coahuila de Zaragoza,004 Arteaga,,46994.87117,m,28104,1032,26911,161,1,0.037,0.958,0.006,25.3666697,-100.6577319,2089.324528,29564,14343,14027,8633,1635.336475,0.010787553,18.08679771,415
05 Coahuila de Zaragoza,005 Candela,,37133.306,c,1557,13,1544,0,1,0.008,0.992,0,26.84969585,-100.7100869,489.3760684,1643,836,797,471,2118.821194,0.013976876,0.775431171,6
05 Coahuila de Zaragoza,006 Castaños,,43333.42655,m,27576,29,27505,42,1,0.001,0.997,0.002,26.65907843,-101.3855875,896.7534722,29128,14494,14469,8382,3343.065158,0.022052643,8.712962093,89
05 Coahuila de Zaragoza,007 Cuatro Ciénegas,,45420.76703,m,11971,10,11933,28,1,0.001,0.997,0.002,26.84753761,-102.0862189,931.0202429,12715,6248,6276,3777,10672.2606,0.070399929,1.191406439,94
05 Coahuila de Zaragoza,008 Escobedo,,36591.81536,c,2895,6,2888,1,1,0.002,0.998,0,27.31304055,-101.329992,444.7846154,3047,1504,1505,908,1024.905636,0.006760825,2.972956624,19
05 Coahuila de Zaragoza,009 Francisco I. Madero,,44257.64137,m,55078,739,54132,207,1,0.013,0.983,0.004,25.90248826,-103.25608,1104.309524,59013,29070,29709,15897,2810.061249,0.018536664,21.00843888,102
05 Coahuila de Zaragoza,010 Frontera,,52272.24538,m,77524,211,77143,170,1,0.003,0.995,0.002,26.96562133,-101.4834587,559.7474227,82409,41168,41165,23371,457.4602637,0.003017652,180.1446083,38
05 Coahuila de Zaragoza,011 General Cepeda,,35762.62315,m,11301,305,10987,9,1,0.027,0.972,0.001,25.44079756,-101.4989249,1413.768254,11898,5937,5673,3407,2640.861494,0.017420532,4.505347981,140
